ID	X	Y	Curve
0	0	3.491	61230004_M
1	31	3.41	61230004_M
2	60	3.322	61230004_M
3	91	3.368	61230004_M
4	121	3.619	61230004_M
5	121	3.619	61230004_M
6	152	3.767	61230004_M
7	182	4.684	61230004_M
8	213	5.06	61230004_M
9	244	5.006	61230004_M
10	274	4.506	61230004_M
11	305	4.425	61230004_M
12	335	3.948	61230004_M
13	366	3.825	61230004_M
14	397	3.612	61230004_M
15	425	3.538	61230004_M
16	456	3.652	61230004_M
17	486	3.996	61230004_M
18	517	4.042	61230004_M
19	547	4.407	61230004_M
20	578	4.399	61230004_M
21	609	4.345	61230004_M
22	639	4.119	61230004_M
23	670	3.869	61230004_M
24	700	3.578	61230004_M
25	731	3.549	61230004_M
26	762	3.372	61230004_M
27	790	3.354	61230004_M
28	821	3.331	61230004_M
29	851	3.493	61230004_M
30	882	4.498	61230004_M
31	912	4.667	61230004_M
32	943	4.841	61230004_M
33	974	4.934	61230004_M
34	1004	4.611	61230004_M
35	1035	4.581	61230004_M
36	1065	4.21	61230004_M
37	1096	3.879	61230004_M
38	1127	3.691	61230004_M
39	1155	3.6	61230004_M
40	1186	3.566	61230004_M
41	1216	3.86	61230004_M
42	1247	4.903	61230004_M
43	1277	4.974	61230004_M
44	1308	5.014	61230004_M
45	1339	5.15	61230004_M
46	1369	4.774	61230004_M
47	1400	4.493	61230004_M
48	1430	3.995	61230004_M
49	1461	3.707	61230004_M
50	1492	3.611	61230004_M
51	1521	3.526	61230004_M
52	1552	3.578	61230004_M
53	1582	3.833	61230004_M
54	1613	3.956	61230004_M
55	1643	4.905	61230004_M
56	1674	5.241	61230004_M
57	1705	5.101	61230004_M
58	1735	4.601	61230004_M
59	1766	4.509	61230004_M
60	1796	4.034	61230004_M
61	1827	3.861	61230004_M
62	1858	3.644	61230004_M
63	1886	3.567	61230004_M
64	1917	3.685	61230004_M
65	1947	3.835	61230004_M
66	1978	4.326	61230004_M
67	2008	4.431	61230004_M
68	2039	4.409	61230004_M
69	2070	4.375	61230004_M
70	2100	4.188	61230004_M
71	2131	4.202	61230004_M
72	2161	3.875	61230004_M
73	2192	3.769	61230004_M
